Title,Author,Tags,Date,,,
Think Twice ,Harlan Coben ,Fiction thriller,2024-06-16,,,
Conviction ,Denise Mina,Fiction thriller,2024-06-16,,,
Reykjavík,Ragnar Jónasson,Fiction thriller,2023-09-17,,,
I Will Find You,Harlan  Coben,Fiction Sci-Fi,2024-08-11,,,
The Hunter,Tana French,Fiction thriller,2024-07-12,,,
The Ascent,Adam Plantinga,Fiction Thriller,2024-05-13,,,
The Guilty One,Bill Schweigart,Fiction Thriller,2024-03-08,,,
The Secret,Lee Child,Fiction Thriller,2024-02-18,,,
Deus X,Stephen Mack Jones,Fiction Thriller,2023-12-27,,,
Resurrection Walk,Michael Connelly,Fiction Thriller,2023-12-08,,,
Democracy Awakening,Heather Cox Richardson,Non-Fiction history,2023-11-07,,,
Charlotte Illes Is Not a Detective,Katie Siegel ,Fiction Thriller,2023-10-17,,,
Past Tense,Lee Child,Fiction Thriller,2023-06-18,,,
Blue Moon,Lee Child,Fiction Thriller,2023-04-30,,,
